10 10
P 1 1
D_R 5 5
G_P 4 2 
G_P 4 3 
G_S 2 4
G_S 2 2
G_S 2 3
G_L 3 1
G_L 3 2
G_L 3 3
G_P 0 0 
W 0 1
W 0 2
W 0 3
W 0 4
W 0 5
W 0 6
W 0 7 
W 0 8 
W 0 9 
W 1 0
W 2 0
W 3 0
W 4 0
W 5 0
W 6 0
W 7 0
W 8 0
W 9 0
W 1 9
W 2 9
W 3 9
W 4 9
W 5 9
W 6 9
W 7 9
W 8 9
W 9 9
W 9 0
W 9 1
W 9 2
W 9 3
W 9 4
W 9 5
W 9 6
W 9 7
W 9 8
W 9 9
######
10 10
P 1 5
W 0 0
W 0 1
W 0 2
W 0 3
W 0 4
W 0 5
W 0 6
W 0 7 
W 0 8 
W 0 9 
W 1 0
G_S 1 1
G_S 1 2
G_P 1 3
G_P 1 4
G_P 1 5
G_P 1 6
G_P 1 7 
G_P 1 8 
W 2 1
W 2 3
W 2 4
W 2 5
W 2 6
W 2 7 
W 2 8 
W 2 9 
G_P 3 1
G_P 3 2
G_P 3 3
G_P 3 4
G_P 3 5
G_P 3 6
G_P 3 8 
D_S 3 7 
W 4 1
W 4 2
W 4 3
W 4 4
W 4 5
W 4 6
W 4 7 
W 4 8 
W 4 9 
G_L 5 1
G_P 5 2
G_P 5 3
G_P 5 4
G_P 5 5
G_P 5 6
G_P 5 7 
G_P 5 8  
W 6 1
W 6 2
W 6 3
W 6 4
W 6 5
W 6 6
W 6 7 
W 6 8 
G_P 7 1
G_P 7 2
W 7 3
G_P 7 4
D_S 7 5
G_P 7 6
G_P 7 7 
G_P 7 8 
G_S 8 1
G_S 8 2
W 8 3
G_P 8 4
G_P 8 5
G_P 8 6
G_P 8 7 
G_P 8 8 
W 2 0
W 3 0
W 4 0
W 5 0
W 6 0
W 7 0
W 8 0
W 9 0
W 1 9
W 2 9
W 3 9
W 4 9
W 5 9
W 6 9
W 7 9
W 8 9
W 9 9
W 9 0
W 9 1
W 9 2
W 9 3
W 9 4
W 9 5
W 9 6
W 9 7
W 9 8
W 9 9
######
10 15
W 0 0
W 0 1
W 0 2
W 0 3
W 0 4
W 0 5
W 0 6
W 0 7
W 0 8
W 0 9
W 0 10
W 0 11
W 0 12
W 0 13
W 0 14
W 9 0
W 9 1
W 9 2
W 9 3
W 9 4
W 9 5
W 9 6
W 9 7
W 9 8
W 9 9
W 9 10
W 9 11
W 9 12
W 9 13
W 9 14
W 0 0
W 1 0
W 2 0
W 3 0
W 4 0
W 5 0
W 6 0
W 7 0
W 8 0
W 9 0
W 0 14
W 1 14
W 2 14
W 3 14
W 4 14
W 5 14
W 6 14
W 7 14
W 8 14
W 9 14
W 2 2
W 3 2
W 4 2
W 5 2
W 6 2
W 7 2
W 8 2
W 9 2
W 2 2
W 2 3
W 2 4
W 2 5
W 2 6
W 2 7
W 2 8
W 2 9
W 2 10
W 2 11
W 2 12
W 2 13
W 4 4
W 4 5
W 4 6
W 4 7
W 4 8
W 4 9
W 4 10
W 4 11
W 4 12
W 6 3
W 6 4
W 6 5
W 6 6
W 6 7
W 6 8
W 6 9
W 6 10
W 6 11
W 6 12
G_S 1 1
G_P 1 2
G_P 1 3
G_P 1 4
G_P 1 5
G_P 1 6
G_P 1 7
G_P 1 8
G_P 1 9
G_P 1 10
G_P 1 11
G_P 1 12
D_S 1 13
G_P 2 1
G_S 3 1
G_P 3 3
G_P 3 4
G_P 3 5
G_P 3 6
G_P 3 7
G_P 3 8
G_P 3 9
G_P 3 10
G_P 3 11
G_P 3 12
G_L 3 13
G_P 4 1
G_P 4 3
G_P 4 13
G_P 5 1
G_P 5 3
G_P 5 4
G_P 5 5
G_P 5 6
G_P 5 7
G_P 5 8
G_P 5 9
G_P 5 10
G_P 5 11
G_P 5 12
G_P 5 13
G_P 6 1
G_P 6 13
G_P 7 1
G_S 7 3
G_S 7 4
D_R 7 5
G_P 7 6
G_P 7 7
G_P 7 8
G_P 7 9
G_L 7 10
G_P 7 11
D_R 7 12
G_P 7 13
G_P 8 1
G_P 8 3
G_P 8 4
G_P 8 5
G_P 8 6
D_S 8 7
G_P 8 8
G_P 8 9
G_P 8 10
G_P 8 11
G_P 8 12
P 8 13
######
